index,基金代码,基金名称,申购费率,基金类型,基金风险,基金规模,成立日,基金经理,基金公司,投资股票,投资债券
15,000028-,华富安鑫债券,0.08,债券型-混合债,中风险,0.52亿元（2021-09-30）,1366732800,张惠,华富基金,600036 000001 601899 600741 601658 601877 002557 600690 603939 002714,"1.143235,1.155415,1.155201"
16,000029-,富国宏观策略灵活配置混合A,0.15,混合型-灵活,中高风险,4.96亿元（2021-09-30）,1365696000,袁宜,富国基金,002371 000513 000762 300772 002466 300179 600406 600216 688037 600460,~
17,000030-,长城核心优选混合,0.15,混合型-灵活,中高风险,2.28亿元（2021-09-30）,1366214400,王卫林,长城基金,600519 601012 300059 600036 600809 000568 002594 000858 601919 603259,1.118002
18,000031-,华夏复兴混合,0.15,混合型-偏股,中高风险,32.41亿元（2021-09-30）,1189353600,周克平,华夏基金,002985 300450 300750 603799 300782 300662 002050 300767 002475 688083,~
19,000032-,易方达信用债债券A,0.08,债券型-长债,中低风险,112.98亿元（2021-09-30）,1366732800,胡剑等,易方达基金,~,~
20,000033-,易方达信用债债券C,0.00,债券型-长债,中低风险,17.71亿元（2021-09-30）,1366732800,胡剑等,易方达基金,~,~
21,000037-,广发景宁债券A,0.08,债券型-长债,中低风险,6.13亿元（2021-09-30）,1371657600,宋倩倩,广发基金,~,1.188799
22,000039-,农银高增长混合,0.15,混合型-偏股,中高风险,2.65亿元（2021-09-30）,1364227200,张燕,农银汇理基金,300750 002371 002812 002709 603659 688388 600745 688599 600765 603383,~
23,000041-,华夏全球股票(QDII),0.16,QDII,高风险,26.05亿元（2021-09-30）,1191859200,李湘杰,华夏基金,NVDA AAPL GOOG MSFT 01211 SE ASML FB TSLA AMZN,~
24,000042-,财通中证ESG100指数增强A,0.12,指数型-股票,高风险,2.13亿元（2021-09-30）,1363881600,朱海东,财通基金,600690 002142 000333 600309 000858 600958 000338 600741 600900 601600,0.123111
25,000043-,嘉实美国成长股票人民币,0.15,QDII,高风险,10.74亿元（2021-09-30）,1371139200,张自力,嘉实基金,MSFT AAPL GOOGL AMZN FB NVDA TSLA PYPL V ADBE,~
26,000044-,嘉实美国成长股票美元现汇,0.0,QDII,~,0.99亿元（2021-09-30）,1371139200,张自力,嘉实基金,MSFT AAPL GOOGL AMZN FB NVDA TSLA PYPL V ADBE,~
27,000045-,工银产业债债券A,0.08,债券型-混合债,中风险,197.32亿元（2021-09-30）,1364486400,何秀红,工银瑞信基金,603259 300274 600036 000858 300750 000333 600309 002415 300059 601012,"1.110059,1.132015"
28,000046-,工银产业债债券B,0.00,债券型-混合债,中风险,3.30亿元（2021-09-30）,1364486400,何秀红,工银瑞信基金,603259 300274 600036 000858 300750 000333 600309 002415 300059 601012,"1.110059,1.132015"
29,000047-,华夏双债债券A,0.08,债券型-混合债,中风险,16.40亿元（2021-09-30）,1363190400,柳万军,华夏基金,000932 603806 601222 300409 603681 002472 300748 603179,"1.113047,1.132009,1.019641"
30,000048-,华夏双债债券C,0.00,债券型-混合债,中风险,4.38亿元（2021-09-30）,1363190400,柳万军,华夏基金,000932 603806 601222 300409 603681 002472 300748 603179,"1.113047,1.132009,1.019641"
31,000049-,中银标普全球资源等权重指数,0.15,QDII,高风险,0.30亿元（2021-09-30）,1363622400,陈学林,中银基金,DVN FANG CVE C OXY S32A COP EQNR IMO C OGZD L TECK/B C,~
32,000051-,华夏沪深300ETF联接A,0.12,指数型-股票,高风险,103.47亿元（2021-09-30）,1247155200,张弘弢等,华夏基金,600030 600519 000858 600905 000333 600036 002415 300059 601012 601318,~
33,000053-,鹏华永诚一年定开债券,0.08,债券型-长债,中低风险,8.18亿元（2021-09-30）,1367510400,刘涛,鹏华基金,~,~
34,000054-,鹏华双债增利债券,0.08,债券型-混合债,中风险,18.32亿元（2021-09-30）,1363104000,陈大烨等,鹏华基金,600048 001979 600025 600027 300750 601186 600350 601857 000400 601006,1.163353
35,000055-,广发纳斯达克100美元现汇A,0.0,QDII,~,46.14亿元（2021-09-30）,1421337600,刘杰,广发基金,AAPL MSFT AMZN GOOG TSLA GOOGL FB NVDA PYPL ADBE,~
36,000056-,建信消费升级混合,0.15,混合型-偏股,中高风险,0.70亿元（2021-09-30）,1371139200,邱宇航,建信基金,600519 002475 600809 000651 000858 000568 601888 000661 600690 000739,~
37,000057-,中银消费主题混合,0.15,混合型-偏股,中高风险,0.92亿元（2021-09-30）,1366819200,杨庆运,中银基金,600519 000568 600887 000333 000858 300750 601888 300015 000661 002466,"1.019654,1.019649"
38,000058-,国联安安泰灵活配置混合,0.10,混合型-灵活,中高风险,8.01亿元（2021-09-30）,1366646400,林渌等,国联安基金,601288 601939 600309 000002 002353 000301 002384 002475 600900 000858,~
39,000059-,国联安中证医药100A,0.12,指数型-股票,高风险,1.99亿元（2021-09-30）,1377014400,黄欣,国联安基金,600276 000739 300725 603456 300363 603127 688139 300759 002821 603707,~
40,000061-,华夏盛世混合,0.15,混合型-偏股,中高风险,14.31亿元（2021-09-30）,1260460800,郑煜,华夏基金,300058 002759 002240 002436 002213 603970 600163 600619 603906 002407,~
41,000063-,长盛电子信息主题灵活配置混合,0.15,混合型-灵活,高风险,3.92亿元（2021-09-30）,1368115200,朱律,长盛基金,002371 603290 300604 688037 002410 002415 600460 688536 688200 002475,~
42,000064-,大摩18个月定开债,0.00,债券型-长债,中低风险,4.87亿元（2021-09-30）,1372089600,李轶,摩根士丹利华鑫基金,~,1.155528
43,000065-,国富焦点驱动混合,0.15,混合型-灵活,中高风险,8.61亿元（2021-09-30）,1367856000,赵晓东等,国海富兰克林基金,600483 300059 000858 002648 600406 600905 002142 600036 002271 000001,1.113044
44,000066-,诺安鸿鑫混合A,0.15,混合型-偏股,中高风险,0.90亿元（2021-09-30）,1367510400,宋德舜等,诺安基金,600309 600905 601100 603067 603799 002460 002466 600048 600660 601058,~
45,000067-,民生加银转债优选A,0.08,债券型-可转债,中风险,1.64亿元（2021-09-30）,1366214400,关键,民生加银基金,000683 600438 300035 600210 300772 002756 600110 688390 600328 002709,"1.019654,0.127018,0.123103,0.123111"
46,000068-,民生加银转债优选C,0.00,债券型-可转债,中风险,1.83亿元（2021-09-30）,1366214400,关键,民生加银基金,000683 600438 300035 600210 300772 002756 600110 688390 600328 002709,"1.019654,0.127018,0.123103,0.123111"
47,000069-,国投瑞银中高等级债券A,0.08,债券型-长债,中低风险,2.64亿元（2021-09-30）,1368460800,宋璐,国投瑞银基金,~,"1.019654,1.019547"
48,000070-,国投瑞银中高等级债券C,0.00,债券型-长债,中低风险,2.60亿元（2021-09-30）,1368460800,宋璐,国投瑞银基金,~,"1.019654,1.019547"
49,000071-,华夏恒生ETF联接A,0.12,QDII,高风险,23.89亿元（2021-09-30）,1345478400,徐猛,华夏基金,~,~
50,000072-,华安稳健回报混合,0.15,混合型-灵活,中高风险,9.07亿元（2021-09-30）,1368460800,郑可成等,华安基金,600905 002821 300274 002371 002812 300347 000166 603127 603290 001979,~
51,000073-,上投摩根成长动力混合,0.15,混合型-灵活,中高风险,4.34亿元（2021-09-30）,1368547200,刘辉,上投摩根基金,300390 603486 300014 603129 300357 300595 300750 601012 300274 688169,~
52,000074-,工银信用纯债一年定开债A,0.06,债券型-长债,中低风险,6.97亿元（2021-09-30）,1369152000,何秀红,工银瑞信基金,~,"1.175274,1.175880,0.149505"
53,000075-,华夏恒生ETF联接现汇,0.0,QDII,~,23.89亿元（2021-09-30）,1345478400,徐猛,华夏基金,~,~
54,000076-,华夏恒生ETF联接现钞,0.0,QDII,~,23.89亿元（2021-09-30）,1345478400,徐猛,华夏基金,~,~
55,000077-,工银信用纯债一年定开债C,0.00,债券型-长债,中低风险,0.46亿元（2021-09-30）,1369152000,何秀红,工银瑞信基金,~,"1.175274,1.175880,0.149505"
56,000078-,工银信用纯债三个月定开债A,0.06,债券型-长债,中低风险,8.82亿元（2021-09-30）,1372003200,朱晨杰,工银瑞信基金,~,~
57,000079-,工银信用纯债三个月定开债C,0.00,债券型-长债,中低风险,0.06亿元（2021-09-30）,1372003200,朱晨杰,工银瑞信基金,~,~
58,000080-,天治可转债增强债券A,0.08,债券型-可转债,中风险,0.37亿元（2021-09-30）,1370275200,王洋,天治基金,~,"1.113605,1.110062,1.132018,0.128135,1.110079"
59,000081-,天治可转债增强债券C,0.00,债券型-可转债,中风险,0.61亿元（2021-09-30）,1370275200,王洋,天治基金,~,"1.113605,1.110062,1.132018,0.128135,1.110079"
60,000082-,嘉实研究阿尔法股票,0.15,股票型,高风险,6.33亿元（2021-09-30）,1369670400,张露等,嘉实基金,600036 000799 600702 002415 300750 603113 688368 300059 000935 002142,"0.123111,0.128134,1.110079,0.127004"
61,000083-,汇添富消费行业混合,0.15,混合型-偏股,中高风险,209.73亿元（2021-09-30）,1367510400,胡昕炜,汇添富基金,600519 600809 000858 300750 601888 000568 002568 000799 603345 600132,0.127046
62,000084-,博时安盈债券A,0.03,债券型-中短债,中低风险,47.80亿元（2021-09-30）,1366646400,黄海峰,博时基金,~,~
63,000085-,博时安盈债券C,0.00,债券型-中短债,中低风险,38.60亿元（2021-09-30）,1366646400,黄海峰,博时基金,~,~
64,000086-,南方稳利1年定开债A,0.06,债券型-长债,中低风险,10.92亿元（2021-09-30）,1374508800,何康,南方基金,~,"1.019658,0.112901"
65,000087-,嘉实中证金边国债ETF联接A,0.05,债券型-长债,中风险,0.03亿元（2021-09-30）,1368115200,崔思维,嘉实基金,~,"0.101502,1.019649"
66,000088-,嘉实中证金边国债ETF联接C,0.00,债券型-长债,中风险,0.01亿元（2021-09-30）,1368115200,崔思维,嘉实基金,~,"0.101502,1.019649"
67,000089-,民生加银高等级信用债C,0.00,债券型-长债,中低风险,11.28亿元（2021-09-30）,1366819200,李文君,民生加银基金,~,~
68,000090-,民生加银高等级信用债A,0.06,债券型-长债,中低风险,8.62亿元（2021-09-30）,1366819200,李文君,民生加银基金,~,~
69,000103-,国泰中国企业境外高收益债,0.08,QDII,高风险,0.22亿元（2021-09-30）,1366905600,吴向军,国泰基金,~,~
70,000104-,华宸未来稳健添利债券A,0.08,债券型-长债,中低风险,0.02亿元（2021-09-30）,1376928000,朱文辉,华宸未来基金,~,"1.019641,1.018006,1.019654,1.019649"
71,000105-,建信安心回报债券A,0.06,债券型-长债,中低风险,11.46亿元（2021-09-30）,1368460800,闫晗,建信基金,~,~
72,000106-,建信安心回报债券C,0.00,债券型-长债,中低风险,0.22亿元（2021-09-30）,1368460800,闫晗,建信基金,~,~
73,000107-,富国稳健增强债券A/B,0.08,债券型-混合债,中风险,25.08亿元（2021-09-30）,1369065600,俞晓斌,富国基金,002607 600048 601668 300003 000513 600009 601601 601899 600612 002896,1.019654
74,000109-,富国稳健增强债券C,0.00,债券型-混合债,中风险,4.38亿元（2021-09-30）,1369065600,俞晓斌,富国基金,002607 600048 601668 300003 000513 600009 601601 601899 600612 002896,1.019654
75,000110-,金鹰元安混合A,0.08,混合型-偏债,中风险,5.38亿元（2021-09-30）,1368979200,林龙军等,金鹰基金,000656 603456 601012 300682 600519 002245 605117 000001 600887 600690,1.155596
76,000111-,易方达纯债1年定开债A,0.06,债券型-长债,中低风险,31.10亿元（2021-09-30）,1375113600,李一硕,易方达基金,~,~
77,000112-,易方达纯债1年定开债C,0.00,债券型-长债,中低风险,0.11亿元（2021-09-30）,1375113600,李一硕,易方达基金,~,~
78,000116-,嘉实丰益纯债定期债券,0.06,债券型-长债,中低风险,6.29亿元（2021-09-30）,1369065600,轩璇,嘉实基金,~,~
79,000117-,广发轮动配置混合,0.15,混合型-偏股,中高风险,7.23亿元（2021-09-30）,1369670400,吴兴武,广发基金,600519 000858 000568 603259 300015 300347 002821 600436 300628 600809,0.123117
80,000118-,广发聚鑫债券A,0.08,债券型-混合债,中风险,158.81亿元（2021-09-30）,1370361600,张芊,广发基金,300124 002352 000425 300015 002415 600036 002410 002153 002568 300454,"1.132018,1.175535,1.127934,0.123107"
81,000119-,广发聚鑫债券C,0.00,债券型-混合债,中风险,14.94亿元（2021-09-30）,1370361600,张芊,广发基金,300124 002352 000425 300015 002415 600036 002410 002153 002568 300454,"1.132018,1.175535,1.127934,0.123107"
82,000120-,中银美丽中国混合,0.15,混合型-偏股,中高风险,0.58亿元（2021-09-30）,1370534400,严菲,中银基金,300750 600900 002466 600011 603185 002812 002240 600048 601985 600886,~
83,000121-,华夏永福混合A,0.08,混合型-偏债,中风险,18.30亿元（2021-09-30）,1376323200,何家琪,华夏基金,000983 600036 601658 601857 601166 600893 601939 600760 002013 601088,1.019654
84,000122-,汇添富实业债债券A,0.10,债券型-长债,中低风险,5.05亿元（2021-09-30）,1371139200,徐一恒,汇添富基金,~,"1.175789,1.136193"
85,000123-,汇添富实业债债券C,0.00,债券型-长债,中低风险,0.75亿元（2021-09-30）,1371139200,徐一恒,汇添富基金,~,"1.175789,1.136193"
86,000124-,华宝服务优选混合,0.15,混合型-偏股,中高风险,8.43亿元（2021-09-30）,1372262400,丁靖斐,华宝基金,300750 300014 603678 002475 603799 002651 601888 002025 000516 603501,~
87,000126-,招商安润混合,0.15,混合型-灵活,中高风险,11.17亿元（2021-09-30）,1366300800,任琳娜,招商基金,300750 600438 300014 601012 300769 003022 002466 688599 002709 002460,~
88,000127-,农银行业领先混合,0.15,混合型-偏股,中高风险,12.61亿元（2021-09-30）,1372089600,张峰,农银汇理基金,300979 002920 603259 601012 600900 002821 300122 300496 688036 300896,1.019649
89,000128-,大成景安短融债券A,0.00,债券型-中短债,中低风险,37.81亿元（2021-09-30）,1369324800,张俊杰,大成基金,~,~
90,000129-,大成景安短融债券B,0.00,债券型-中短债,中低风险,34.24亿元（2021-09-30）,1369324800,张俊杰,大成基金,~,~
91,000130-,大成景兴信用债债券A,0.08,债券型-混合债,中低风险,0.48亿元（2021-09-30）,1370275200,孙丹,大成基金,~,1.152278
92,000131-,大成景兴信用债债券C,0.00,债券型-混合债,中低风险,0.10亿元（2021-09-30）,1370275200,孙丹,大成基金,~,1.152278
93,000134-,中信保诚嘉鸿债券A,0.80,债券型-长债,中低风险,75.85亿元（2021-09-30）,1495641600,邢恭海,中信保诚基金,~,~
94,000135-,中信保诚嘉鸿债券C,0.00,债券型-长债,中低风险,74.90亿元（2020-07-23）,1495641600,邢恭海,中信保诚基金,~,~
95,000136-,民生加银策略精选混合A,0.15,混合型-灵活,中高风险,28.35亿元（2021-09-30）,1370534400,孙伟,民生加银基金,300750 002326 300059 600845 601888 603501 002352 002812 600763 603259,"1.019547,1.019536,1.018006,1.018008,1.019528"
96,000137-,民生加银岁岁增利债券A,0.06,债券型-长债,中低风险,16.29亿元（2021-09-30）,1375286400,胡振仓,民生加银基金,~,~
97,000138-,民生加银岁岁增利债券C,0.00,债券型-长债,中低风险,0.18亿元（2021-09-30）,1375286400,胡振仓,民生加银基金,~,~
98,000139-,富国国有企业债债券A/B,0.08,债券型-长债,中低风险,6.52亿元（2021-09-30）,1380038400,张波,富国基金,~,~
99,000141-,富国国有企业债债券C,0.00,债券型-长债,中低风险,11.16亿元（2021-09-30）,1380038400,张波,富国基金,~,~
100,000142-,融通增强收益债券A,0.08,债券型-混合债,中风险,0.32亿元（2021-09-30）,1369843200,余志勇等,融通基金,600519 300750 600031 000338 601100 688536 300274 600048 300347 300782,"1.019536,1.110059,1.113021,1.113042"
101,000143-,鹏华双债加利债券A,0.08,债券型-混合债,中风险,46.75亿元（2021-09-30）,1369584000,王石千,鹏华基金,300750 600036 603259 300122 000661 600926 300760 688390 600809 600702,"1.019654,1.175840,1.143569"
102,000147-,易方达高等级信用债债券A,0.08,债券型-长债,中低风险,78.66亿元（2021-09-30）,1377187200,林森,易方达基金,~,~
103,000148-,易方达高等级信用债债券C,0.00,债券型-长债,中低风险,11.56亿元（2021-09-30）,1377187200,林森,易方达基金,~,~
104,000149-,华安双债添利债券A,0.08,债券型-混合债,中低风险,1.34亿元（2021-09-30）,1371139200,贺涛等,华安基金,603806 002538 300207 300772 300748,1.136678
105,000150-,华安双债添利债券C,0.00,债券型-混合债,中低风险,0.52亿元（2021-09-30）,1371139200,贺涛等,华安基金,603806 002538 300207 300772 300748,1.136678
106,000152-,大成景旭纯债债券A,0.08,债券型-长债,中低风险,0.07亿元（2021-09-30）,1374508800,方锐,大成基金,~,~
107,000153-,大成景旭纯债债券C,0.00,债券型-长债,中低风险,0.15亿元（2021-09-30）,1374508800,方锐,大成基金,~,~
108,000165-,国投瑞银策略精选混合,0.15,混合型-灵活,中高风险,3.28亿元（2021-09-30）,1380211200,吉莉,国投瑞银基金,002311 601225 600519 601012 600030 000582 300655 002460 300750 600409,"1.019658,1.018006"
109,000166-,中海信息产业精选混合,0.15,混合型-偏股,中高风险,0.76亿元（2021-09-30）,1375200000,姚晨曦,中海基金,002472 605117 603806 300763 601678 300274 600460 688680 688390 600845,~
110,000167-,广发聚优灵活配置混合A,0.15,混合型-灵活,中高风险,4.82亿元（2021-09-30）,1378828800,张东一,广发基金,300059 600519 000858 603259 601012 300015 002714 600809 600009 600779,~
111,000171-,易方达裕丰回报债券,0.10,债券型-混合债,中风险,512.01亿元（2021-09-30）,1377187200,张清华等,易方达基金,002415 603806 601012 000661 603259 000596 600426 603882 300558 600486,~
112,000172-,华泰柏瑞量化增强混合A,0.12,混合型-偏股,中高风险,11.62亿元（2021-09-30）,1375372800,田汉卿,华泰柏瑞基金,600036 600519 601166 601919 600030 300033 000858 600438 000568 000776,~
113,000173-,汇添富美丽30混合,0.15,混合型-偏股,中高风险,18.76亿元（2021-09-30）,1372089600,王栩,汇添富基金,603259 002371 601888 600702 000568 002568 002466 688363 000983 300014,"0.123116,0.127046"
114,000174-,汇添富高息债债券A,0.10,债券型-长债,中低风险,6.19亿元（2021-09-30）,1372262400,徐光,汇添富基金,~,1.163416
115,000175-,汇添富高息债债券C,0.00,债券型-长债,中低风险,4.65亿元（2021-09-30）,1372262400,徐光,汇添富基金,~,1.163416
116,000176-,嘉实沪深300指数研究增强,0.10,指数型-股票,高风险,22.10亿元（2021-09-30）,1419523200,龙昌伦等,嘉实基金,600036 600519 000858 601318 601166 600438 000001 300059 000333 002415,"1.110079,0.127043,0.127045,1.113049"
117,000179-,广发美国房地产指数,0.13,QDII,高风险,2.53亿元（2021-09-30）,1375977600,叶帅,广发基金,PLD EQIX PSA SPG DLR WELL AVB EQR ARE O,~
118,000180-,广发美国房地产指数现汇,0.0,QDII,~,2.53亿元（2021-09-30）,1375977600,叶帅,广发基金,PLD EQIX PSA SPG DLR WELL AVB EQR ARE O,~
119,000181-,景顺长城四季金利债券A,0.08,债券型-混合债,中风险,16.39亿元（2021-09-30）,1375113600,彭成军,景顺长城基金,~,~
120,000182-,景顺长城四季金利债券C,0.00,债券型-混合债,中风险,0.01亿元（2021-09-30）,1375113600,彭成军,景顺长城基金,~,~
121,000183-,嘉实丰益策略定期债券,0.06,债券型-长债,中低风险,13.58亿元（2021-09-30）,1375113600,轩璇,嘉实基金,~,1.113604
122,000184-,工银添福债券A,0.08,债券型-混合债,中风险,0.50亿元（2021-09-30）,1383148800,郭雪松,工银瑞信基金,300750 002415 000858 600809 601601 600132 002384 601888 002475 300454,"1.113021,1.110059,1.113044,1.132015"
123,000185-,工银添福债券B,0.00,债券型-混合债,中风险,0.11亿元（2021-09-30）,1383148800,郭雪松,工银瑞信基金,300750 002415 000858 600809 601601 600132 002384 601888 002475 300454,"1.113021,1.110059,1.113044,1.132015"
124,000186-,华泰柏瑞季季红债券,0.08,债券型-长债,中低风险,22.33亿元（2021-09-30）,1384272000,罗远航,华泰柏瑞基金,~,~
125,000187-,华泰柏瑞丰盛纯债债券A,0.08,债券型-长债,中低风险,0.84亿元（2021-09-30）,1378051200,何子建,华泰柏瑞基金,~,~
126,000188-,华泰柏瑞丰盛纯债债券C,0.00,债券型-长债,中低风险,1.20亿元（2021-09-30）,1378051200,何子建,华泰柏瑞基金,~,~
127,000189-,易方达丰华债券A,0.08,债券型-混合债,中风险,64.11亿元（2021-09-30）,1452614400,张清华等,易方达基金,603806 002415 002791 688200 603259 603986 300782 000661 601799 688188,~
128,000190-,中银新回报灵活配置混合A,0.12,混合型-灵活,中高风险,55.74亿元（2021-09-30）,1378742400,李建,中银基金,300750 002049 000301 600900 002493 600887 002271 688733 002241 600519,"1.175630,1.188047,1.175535,1.175521"
129,000191-,富国信用债债券A/B,0.08,债券型-长债,中低风险,240.60亿元（2021-09-30）,1372089600,黄纪亮等,富国基金,~,~
130,000192-,富国信用债债券C,0.00,债券型-长债,中低风险,7.05亿元（2021-09-30）,1372089600,黄纪亮等,富国基金,~,~
131,000194-,银华信用四季红债券A,0.08,债券型-长债,中低风险,19.41亿元（2021-09-30）,1375804800,李丹,银华基金,~,1.188246
132,000195-,工银成长收益混合A,0.12,混合型-灵活,中高风险,5.03亿元（2021-09-30）,1372176000,张洋,工银瑞信基金,000001 688012 002415 600048 688186 600309 601166 600570 000858 600690,"1.175010,1.019628,1.163753"
133,000196-,工银成长收益混合B,0.00,混合型-灵活,中高风险,2.83亿元（2021-09-30）,1372176000,张洋,工银瑞信基金,000001 688012 002415 600048 688186 600309 601166 600570 000858 600690,"1.175010,1.019628,1.163753"
134,000197-,富国目标收益一年期纯债债券,0.06,债券型-长债,中低风险,3.12亿元（2021-09-30）,1372262400,俞晓斌,富国基金,~,0.149002
135,000199-,国泰量化策略收益混合,0.12,混合型-偏股,中高风险,3.44亿元（2021-09-30）,1376236800,高崇南,国泰基金,600519 600036 600809 600309 000651 001979 601318 300014 000001 603659,"1.019654,1.118002"
136,000200-,博时岁岁增利一年定开债,0.06,债券型-长债,中低风险,2.14亿元（2021-09-30）,1372176000,鲁邦旺,博时基金,~,~
137,000201-,诺安泰鑫一年定开债A,0.06,债券型-长债,中低风险,0.55亿元（2021-09-30）,1383580800,岳帅,诺安基金,~,"1.143544,1.155072,0.149292"
138,000205-,易方达投资级信用债债券A,0.08,债券型-长债,中低风险,70.81亿元（2021-09-30）,1378742400,王晓晨,易方达基金,~,~
139,000206-,易方达投资级信用债债券C,0.00,债券型-长债,中低风险,8.21亿元（2021-09-30）,1378742400,王晓晨,易方达基金,~,~
140,000207-,建信双债增强债券A,0.08,债券型-混合债,中风险,0.16亿元（2021-09-30）,1374681600,彭紫云,建信基金,~,"1.132009,1.110059,1.113044,1.018006,1.019547"
141,000208-,建信双债增强债券C,0.00,债券型-混合债,中风险,0.14亿元（2021-09-30）,1374681600,彭紫云,建信基金,~,"1.132009,1.110059,1.113044,1.018006,1.019547"
142,000209-,信诚新兴产业混合A,0.15,混合型-偏股,中高风险,99.62亿元（2021-09-30）,1373990400,王睿等,中信保诚基金,300432 600884 002812 002466 002326 002709 600888 688390 688599 002192,~
143,000212-,泰信鑫益定期开放A,0.06,债券型-长债,中低风险,0.54亿元（2021-09-30）,1373990400,李俊江,泰信基金,~,"1.163085,1.155154,1.019649"
144,000213-,泰信鑫益定期开放C,0.00,债券型-长债,中低风险,0.06亿元（2021-09-30）,1373990400,李俊江,泰信基金,~,"1.163085,1.155154,1.019649"
145,000214-,广发成长优选混合,0.15,混合型-灵活,中高风险,0.30亿元（2021-09-30）,1386691200,代宇等,广发基金,300750 000858 000333 002594 300059 002415 000651 002142 002460 000725,"1.018006,1.110048,1.110059"
146,000215-,广发趋势优选灵活配置混合A,0.15,混合型-灵活,中高风险,73.77亿元（2021-09-30）,1378828800,谭昌杰,广发基金,601058 002541 600256 002867 002648 002727 601166 002675 601899 000725,"1.127540,1.175250"
147,000216-,华安黄金易ETF联接A,0.06,商品（不含QDII）,高风险,13.45亿元（2021-09-30）,1377100800,许之彦,华安基金,~,1.019649
148,000217-,华安黄金易ETF联接C,0.00,商品（不含QDII）,高风险,57.75亿元（2021-09-30）,1377100800,许之彦,华安基金,~,1.019649
149,000218-,国泰黄金ETF联接A,0.07,商品（不含QDII）,高风险,1.26亿元（2021-09-30）,1460476800,艾小军,国泰基金,~,~
150,000219-,博时裕益混合,0.15,混合型-灵活,中高风险,7.63亿元（2021-09-30）,1375027200,王增财,博时基金,300674 600570 300033 600030 603989 601360 601377 300624 300470 002777,0.123116
151,000220-,富国医疗保健行业混合A,0.15,混合型-偏股,中高风险,18.13亿元（2021-09-30）,1375804800,孙笑悦,富国基金,300759 300760 603259 300015 002821 300595 688202 600763 688301 300529,~
152,000221-,汇添富年年利定开债A,0.06,债券型-长债,中低风险,6.11亿元（2021-09-30）,1378396800,徐光,汇添富基金,~,"1.155565,1.143121,1.143110,1.163454,1.163551"
153,000222-,汇添富年年利定开债C,0.00,债券型-长债,中低风险,0.18亿元（2021-09-30）,1378396800,徐光,汇添富基金,~,"1.155565,1.143121,1.143110,1.163454,1.163551"
154,000227-,华安年年红债券A,0.06,债券型-长债,中低风险,3.09亿元（2021-09-30）,1384358400,周益鸣,华安基金,~,1.143015
155,000235-,诺安稳固收益一年定开债,0.00,债券型-长债,中低风险,0.93亿元（2021-09-30）,1377014400,裴禹翔,诺安基金,~,~
